Variant,Path Length (m),Curvature (1/m),Compute Time (s),N
CNN-DDQN+MD,9.559,0.2032,0.847,36
CNN-DDQN+MHA,9.374,0.2299,0.509,39
CNN-DDQN+Duel,9.4,0.2155,0.4875,37
CNN-DDQN,9.527,0.2218,0.8942,40
CNN-DQN+MD,9.518,0.191,0.6203,40
CNN-DQN+MHA,9.725,0.2049,0.8542,35
CNN-DQN+Duel,9.457,0.2013,0.6177,39
CNN-DQN,9.371,0.2193,0.3637,37
MLP-DDQN,9.52,0.2297,0.2592,39
MLP-DQN,9.676,0.2275,0.447,30
Scalar-Only,9.077,0.2229,0.3384,34
