Environment,Algorithm,run_idx,start_x,start_y,goal_x,goal_y,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (realmap_a),CNN-DDQN+Duel,40,81,37,355,23,1.0,27.2188,15.2,0.126869,1.28815,0.0,0,1.28815,2,27.863,0.506
Env. (realmap_a),CNN-DDQN+Duel,41,53,21,283,38,1.0,22.7544,12.05,0.122312,0.9787,0.0,0,0.9787,2,23.244,0.889
Env. (realmap_a),CNN-DDQN+Duel,42,383,49,185,22,1.0,19.5163,10.4,0.123152,0.85534,0.0,0,0.85534,2,19.944,0.0
Env. (realmap_a),CNN-DDQN+Duel,43,390,120,51,63,1.0,40.0112,20.7,0.173308,1.58778,0.0,0,1.58778,5,40.805,0.785
Env. (realmap_a),CNN-DDQN+Duel,44,123,39,306,38,1.0,17.7219,9.55,0.181092,0.80878,0.0,0,0.80878,3,18.126,0.061
Env. (realmap_a),CNN-DDQN+Duel,45,386,104,223,42,1.0,19.9781,10.8,0.224272,0.83369,0.0,0,0.83369,4,20.395,0.773
Env. (realmap_a),CNN-DDQN+Duel,46,7,33,256,37,1.0,24.5156,12.9,0.104176,1.01219,0.0,0,1.01219,2,25.022,0.109
Env. (realmap_a),CNN-DDQN+Duel,47,150,31,364,64,1.0,22.805,12.1,0.225906,0.89459,0.0,0,0.89459,5,23.252,0.85
Env. (realmap_a),CNN-DDQN+Duel,48,18,41,234,12,1.0,21.3525,11.35,0.125551,0.93634,0.0,0,0.93634,3,21.821,0.721
Env. (realmap_a),CNN-DDQN+Duel,49,30,39,302,22,1.0,27.0206,14.45,0.116199,0.99194,0.0,0,0.99194,3,27.517,0.446
Env. (realmap_a),Expert (CTG),0,54,14,328,35,1.0,26.9712,14.15,0.098192,2.01988,0.0,0,2.01988,2,27.981,0.0
Env. (realmap_a),Expert (CTG),1,62,40,271,15,1.0,20.7831,11.1,0.149492,1.56831,0.0,0,1.56831,3,21.567,0.246
Env. (realmap_a),Expert (CTG),2,24,22,333,21,1.0,30.1325,16.1,0.061896,2.06995,0.0,0,2.06995,2,31.167,0.843
Env. (realmap_a),Expert (CTG),3,186,17,391,43,1.0,20.1125,10.7,0.113349,1.34737,0.0,0,1.34737,2,20.786,0.035
Env. (realmap_a),Expert (CTG),4,380,65,198,33,1.0,18.745,10.05,0.208382,1.2675,0.0,0,1.2675,3,19.379,0.039
Env. (realmap_a),Expert (CTG),5,7,34,180,24,1.0,16.7162,9.0,0.082652,1.15459,0.0,0,1.15459,3,17.294,0.206
Env. (realmap_a),Expert (CTG),6,52,55,376,53,0.0,0.5137,3.45,0.770039,0.51662,0.0,0,0.51662,1,inf,inf
Env. (realmap_a),Expert (CTG),7,53,52,356,74,1.0,34.2088,22.15,0.22874,2.98712,0.0,0,2.98712,5,35.702,0.59
Env. (realmap_a),Expert (CTG),8,351,17,107,42,1.0,24.0069,13.05,0.131908,1.62568,0.0,0,1.62568,3,24.82,0.782
Env. (realmap_a),Expert (CTG),9,388,95,151,20,1.0,26.59,13.95,0.160485,1.82533,0.0,0,1.82533,3,27.503,0.803
Env. (realmap_a),Expert (CTG),10,176,39,390,122,1.0,26.1575,13.85,0.169175,2.00146,0.0,0,2.00146,4,27.158,0.836
Env. (realmap_a),Expert (CTG),11,375,94,103,45,1.0,30.9944,16.2,0.206022,2.22772,0.0,0,2.22772,5,32.108,0.897
