Environment,Algorithm name,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (掳),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN+Duel,0.72,9.3398,5.4111,0.172931,0.33971,0.0,0,0.33971,3,13.208,0.926
Env. (realmap_a),Hybrid A*,0.24,8.4124,5.0458,0.130576,5.60154,10.29534,0,15.89688,3,68.17,1.86
Env. (realmap_a),RRT*,0.32,8.1435,5.0156,0.115481,3.73549,12.77881,0,16.5143,3,51.252,0.672
