Environment,Algorithm,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (realmap_a),CNN-DDQN+Duel,0.72,9.3398,5.4111,0.172931,0.33971,0.0,0,0.33971,3,13.208,0.926
Env. (realmap_a),Hybrid A*,0.24,8.4124,5.0458,0.130576,5.60154,10.29534,0,15.89688,3,68.17,1.86
Env. (realmap_a),RRT*,0.32,8.1435,5.0156,0.115481,3.73549,12.77881,0,16.5143,3,51.252,0.672
