Environment,Algorithm,run_idx,start_x,start_y,goal_x,goal_y,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (realmap_a),CNN-DDQN+Duel,40,389,90,367,36,1.0,5.5744,3.6,0.042901,0.16924,0.0,0,0.16924,1,5.659,0.227
Env. (realmap_a),CNN-DDQN+Duel,41,236,21,142,31,1.0,9.8419,5.8,0.215072,0.252,0.0,0,0.252,3,9.968,0.664
Env. (realmap_a),CNN-DDQN+Duel,42,189,31,133,34,0.0,1.1081,4.2,2.30806,0.51866,0.0,1,0.51866,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,43,42,20,137,18,1.0,9.2663,5.3,0.107592,0.21468,0.0,0,0.21468,5,9.374,0.61
Env. (realmap_a),CNN-DDQN+Duel,44,104,41,50,23,1.0,6.3387,3.85,0.277332,0.18535,0.0,0,0.18535,5,6.431,0.667
Env. (realmap_a),CNN-DDQN+Duel,45,360,26,384,108,1.0,8.6162,4.95,0.116462,0.2044,0.0,0,0.2044,2,8.718,0.238
Env. (realmap_a),CNN-DDQN+Duel,46,173,42,60,44,0.0,5.4563,4.95,0.409729,0.31076,0.0,1,0.31076,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,47,368,113,386,38,0.0,8.0719,6.15,0.106991,0.4136,0.0,1,0.4136,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,48,151,22,58,16,1.0,9.0675,5.2,0.089212,0.21504,0.0,0,0.21504,3,9.175,0.48
Env. (realmap_a),CNN-DDQN+Duel,49,332,43,199,38,1.0,13.3938,7.5,0.214318,0.29601,0.0,0,0.29601,3,13.542,0.667
Env. (realmap_a),Hybrid A*,0,389,121,376,53,1.0,6.819,4.25,0.152161,0.30929,25.75413,0,26.06341,4,19.851,0.877
Env. (realmap_a),Hybrid A*,1,380,91,283,31,0.0,0.0,0.0,0.0,10.00074,0.0,0,10.00074,0,inf,inf
Env. (realmap_a),Hybrid A*,2,246,38,151,20,0.0,0.8662,1.05,0.120975,9.99006,6.3136,0,16.30367,0,inf,inf
Env. (realmap_a),Hybrid A*,3,369,55,390,122,0.0,0.0,0.0,0.0,10.00419,0.0,0,10.00419,0,inf,inf
Env. (realmap_a),Hybrid A*,4,234,40,103,45,0.0,0.0,0.0,0.0,10.00315,0.0,0,10.00315,0,inf,inf
Env. (realmap_a),Hybrid A*,5,65,43,152,40,1.0,8.542,5.1,0.135855,2.35943,20.95076,0,23.31019,4,20.197,0.667
Env. (realmap_a),Hybrid A*,6,274,22,366,22,0.0,2.8162,2.05,0.067629,7.08245,9.65521,0,16.73765,1,inf,inf
Env. (realmap_a),Hybrid A*,7,133,36,212,28,0.0,2.5162,1.9,0.091646,1.24315,9.27979,0,10.52294,1,inf,inf
Env. (realmap_a),Hybrid A*,8,95,19,26,23,1.0,7.1083,4.85,0.211524,0.28705,33.44658,0,33.73364,3,23.975,1.0
Env. (realmap_a),Hybrid A*,9,278,23,184,38,0.0,1.125,1.2,0.127603,2.7683,8.98885,0,11.75715,1,inf,inf
Env. (realmap_a),Hybrid A*,10,304,43,386,22,0.0,0.0,0.0,0.0,10.00126,0.0,0,10.00126,0,inf,inf
Env. (realmap_a),Hybrid A*,11,77,15,153,41,0.0,3.5162,2.4,0.064157,0.79536,13.80896,0,14.60432,1,inf,inf
Env. (realmap_a),Hybrid A*,12,83,19,177,26,0.0,0.0,0.0,0.0,10.00231,0.0,0,10.00231,0,inf,inf
Env. (realmap_a),Hybrid A*,13,191,37,58,39,0.0,1.5162,1.4,0.083446,0.92172,9.8536,0,10.77531,0,inf,inf
Env. (realmap_a),Hybrid A*,14,273,24,182,16,0.0,0.6412,0.9,0.184215,1.10884,6.9063,0,8.01514,1,inf,inf
Env. (realmap_a),Hybrid A*,15,357,116,401,38,0.0,0.0,0.0,0.0,10.00082,0.0,0,10.00082,0,inf,inf
Env. (realmap_a),Hybrid A*,16,242,37,321,20,0.0,0.7125,0.95,0.117984,4.01171,6.04189,0,10.0536,1,inf,inf
Env. (realmap_a),Hybrid A*,17,371,112,348,22,0.0,0.0,0.0,0.0,10.00061,0.0,0,10.00061,0,inf,inf
Env. (realmap_a),Hybrid A*,18,129,40,31,52,0.0,0.0,0.0,0.0,10.00123,0.0,0,10.00123,0,inf,inf
Env. (realmap_a),Hybrid A*,19,29,48,86,45,0.0,0.7125,0.95,0.438076,3.28652,8.93551,0,12.22203,2,inf,inf
Env. (realmap_a),Hybrid A*,20,84,38,17,35,1.0,6.4608,3.95,0.140159,0.4701,24.13659,0,24.60669,3,18.764,0.75
Env. (realmap_a),Hybrid A*,21,140,33,30,55,0.0,0.0,0.0,0.0,10.00051,0.0,0,10.00051,0,inf,inf
Env. (realmap_a),Hybrid A*,22,105,19,191,9,0.0,5.5162,3.4,0.085444,1.99217,16.52035,0,18.51252,1,inf,inf
Env. (realmap_a),Hybrid A*,23,256,21,360,60,0.0,0.0,0.0,0.0,10.00053,0.0,0,10.00053,0,inf,inf
Env. (realmap_a),Hybrid A*,24,145,38,74,11,0.0,0.0,0.0,0.0,10.00185,0.0,0,10.00185,0,inf,inf
Env. (realmap_a),Hybrid A*,25,109,43,33,56,0.0,0.0,0.0,0.0,10.00095,0.0,0,10.00095,0,inf,inf
Env. (realmap_a),Hybrid A*,26,229,15,357,41,0.0,2.5162,1.9,0.056468,1.35474,8.38828,0,9.74302,1,inf,inf
Env. (realmap_a),Hybrid A*,27,103,12,29,31,0.0,0.7125,0.95,0.192636,3.93832,5.13149,0,9.06982,1,inf,inf
Env. (realmap_a),Hybrid A*,28,299,36,361,30,1.0,6.2764,4.0,0.168883,10.76935,24.83183,0,35.60118,4,24.077,0.831
Env. (realmap_a),Hybrid A*,29,279,20,212,39,0.0,1.125,1.2,0.160209,6.66929,9.82317,0,16.49246,1,inf,inf
Env. (realmap_a),Hybrid A*,30,57,38,136,17,0.0,0.9487,1.1,0.16136,1.07499,9.24027,0,10.31527,1,inf,inf
Env. (realmap_a),Hybrid A*,31,284,40,382,86,0.0,0.51,0.8,0.499459,7.74581,7.07982,0,14.82564,2,inf,inf
Env. (realmap_a),Hybrid A*,32,30,20,143,14,1.0,11.087,6.25,0.065439,2.09375,18.81066,0,20.90441,1,21.539,0.333
Env. (realmap_a),Hybrid A*,33,364,93,355,23,0.0,7.0684,4.6,0.105031,5.00741,27.00794,0,32.01535,2,inf,inf
Env. (realmap_a),Hybrid A*,34,79,21,185,22,1.0,10.337,5.85,0.063377,1.40851,17.03929,0,18.44779,2,19.561,0.333
Env. (realmap_a),Hybrid A*,35,382,82,306,38,0.0,0.0,0.0,0.0,10.00073,0.0,0,10.00073,0,inf,inf
Env. (realmap_a),Hybrid A*,36,316,39,223,42,0.0,0.0,0.0,0.0,10.00067,0.0,0,10.00067,0,inf,inf
Env. (realmap_a),Hybrid A*,37,249,35,364,64,0.0,0.0,0.0,0.0,10.00027,0.0,0,10.00027,0,inf,inf
Env. (realmap_a),Hybrid A*,38,382,35,286,33,0.0,0.0,0.0,0.0,10.00261,0.0,0,10.00261,0,inf,inf
Env. (realmap_a),Hybrid A*,39,381,66,302,22,0.0,0.0,0.0,0.0,10.00021,0.0,0,10.00021,0,inf,inf
Env. (realmap_a),Hybrid A*,40,389,90,367,36,0.0,5.2282,3.4,0.070885,9.60556,24.5918,0,34.19736,2,inf,inf
Env. (realmap_a),Hybrid A*,41,236,21,142,31,1.0,9.4886,5.85,0.189689,9.82548,36.69942,0,46.5249,4,32.751,0.955
Env. (realmap_a),Hybrid A*,42,189,31,133,34,0.0,1.3162,1.3,0.259802,0.81696,12.35681,0,13.17377,1,inf,inf
Env. (realmap_a),Hybrid A*,43,42,20,137,18,1.0,9.2302,5.3,0.051455,0.25829,13.05794,0,13.31623,1,15.888,0.333
Env. (realmap_a),Hybrid A*,44,104,41,50,23,0.0,0.6412,0.9,0.13941,1.98772,8.17551,0,10.16324,1,inf,inf
Env. (realmap_a),Hybrid A*,45,360,26,384,108,1.0,8.6038,5.05,0.140912,5.89796,19.71469,0,25.61265,5,21.41,0.889
Env. (realmap_a),Hybrid A*,46,173,42,60,44,0.0,2.3162,1.8,0.059703,3.16331,10.33003,0,13.49334,0,inf,inf
Env. (realmap_a),Hybrid A*,47,368,113,386,38,1.0,7.9584,4.9,0.181305,0.25589,23.41316,0,23.66904,4,19.793,0.379
Env. (realmap_a),Hybrid A*,48,151,22,58,16,1.0,9.0375,5.2,0.066157,0.44332,21.20145,0,21.64477,2,19.86,0.333
Env. (realmap_a),Hybrid A*,49,332,43,199,38,0.0,5.5162,3.4,0.052532,1.11147,17.28128,0,18.39275,1,inf,inf
Env. (realmap_a),RRT*,0,389,121,376,53,1.0,6.7243,4.3,0.084801,0.01814,18.11801,0,18.13615,2,15.792,0.482
Env. (realmap_a),RRT*,1,380,91,283,31,0.0,3.6162,2.45,0.133391,5.18385,22.16887,0,27.35272,2,inf,inf
Env. (realmap_a),RRT*,2,246,38,151,20,0.0,0.8663,1.05,0.112274,0.5616,6.7016,0,7.2632,0,inf,inf
Env. (realmap_a),RRT*,3,369,55,390,122,0.0,0.0,0.0,0.0,9.88307,0.0,0,9.88307,0,inf,inf
Env. (realmap_a),RRT*,4,234,40,103,45,0.0,3.2162,2.25,0.067976,1.21161,11.21629,0,12.4279,1,inf,inf
