Environment,Algorithm,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (realmap_a),CNN-DDQN+Duel,0.92,24.2659,13.1293,0.143049,1.04628,0.0,0,1.04628,3,26.945,0.69
Env. (realmap_a),Expert (CTG),0.98,24.2034,12.9755,0.139968,1.87806,0.0,0,1.87806,3,25.656,0.581
Env. (realmap_a),RRT*,0.6,23.4203,13.3367,0.165006,5.34119,1.36553,0,6.70672,3,44.623,1.625
Env. (realmap_a),LO-HA*,0.54,21.2187,11.8667,0.123298,6.57756,0.53282,0,7.11039,2,45.878,0.206
