Environment,Algorithm,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (realmap_a),CNN-DDQN+Duel,0.86,8.4466,4.964,0.165413,1.01273,0.0,0,1.01273,3,10.41,0.212
Env. (realmap_a),Expert (CTG),0.94,8.4361,4.9106,0.158067,0.94207,0.0,0,0.94207,3,9.476,0.079
Env. (realmap_a),RRT*,0.76,8.2925,5.7303,0.186542,2.49691,1.69778,0,4.19469,2,13.671,1.316
Env. (realmap_a),LO-HA*,0.9,8.4122,5.4889,0.149854,2.43703,0.5322,0,2.96923,2,10.996,0.554
