step,x_m,y_m,theta_rad,v_m_s,delta_rad,delta_dot_rad_s,a_m_s2,od_m,collision,reached,stuck
0,36.9,5.5,1.2670618409523096,0.0,0.0,0.0,0.0,0.8711531038818676,False,False,False
1,36.90091724756521,5.502926456517581,1.2672968360438102,0.061336745414718896,0.04594239195414292,0.9188478390828583,1.226734908294378,0.8730111147864712,False,False,False
2,36.90266398778578,5.508503981806348,1.2681572186157997,0.11689292492703036,0.08809658323144433,0.8430838255460282,1.1111235902462293,0.8765249736569534,False,False,False
3,36.9050994630103,5.516304235441775,1.2699494566857403,0.16343255042524252,0.13084287695609714,0.8549258744930559,0.9307925099642431,0.8813925896981405,False,False,False
4,36.908125766365316,5.5260581851799095,1.273101652548494,0.20425283106056039,0.1831191104911018,1.0455246707000934,0.8164056127063573,0.887399549592597,False,False,False
5,36.91160274880041,5.537390796079972,1.2778034236186961,0.2370801355375076,0.23363780352286936,1.0103738606353512,0.6565460895389439,0.8944914907460095,False,False,False
6,36.91610539475505,5.5523162754473105,1.283780817784213,0.3117972129045624,0.22611520876949065,-0.1504518950675744,1.4943415473410964,0.9044205291524252,False,False,False
7,36.92158033690093,5.570865000963531,1.2911960200630137,0.3867972129045624,0.22611520876949065,0.0,1.5,0.916601030380161,False,False,False
8,36.927952480357455,5.593058185781973,1.3000490304550993,0.46179721290456244,0.22611520876949065,0.0,1.5,0.9309436867013912,False,False,False
9,36.93513084361764,5.618920305191643,1.3103398489604698,0.5367972129045624,0.22611520876949065,0.0,1.5,0.9473426923555142,False,False,False
10,36.94298996009203,5.64840927441597,1.3237072504033982,0.6103654700820593,0.25699628330718455,0.6176214907538782,1.471365143549939,0.9664394408772652,False,False,False
11,36.95137131824136,5.68163652551533,1.33990557520716,0.68536045408158,0.2763596159965292,0.38726665378689296,1.4998996799904138,0.9882734430540978,False,False,False
12,36.960064564486295,5.71861597924478,1.3596369152486272,0.7597506244561151,0.30211006199009266,0.5150089198712691,1.4878034074907025,1.0117469153334164,False,False,False
13,36.96881248807654,5.759426460073042,1.3813160661315385,0.8347506244561151,0.30211006199009266,0.0,1.5,1.0381554478744608,False,False,False
14,36.977379995589665,5.804099867283129,1.4049430278558948,0.9097506244561151,0.30211006199009266,0.0,1.5,1.0667841816734756,False,False,False
15,36.9854944685605,5.852576043298741,1.4268349697581053,0.9830125762554666,0.2611404542668171,-0.819392154465512,1.4652390359870293,1.0978076398884653,False,False,False
16,36.993083836568424,5.904929438814477,1.45039718087388,1.0580125762554666,0.2611404542668171,0.0,1.5,1.1315656419410556,False,False,False
17,36.999860067006296,5.960938607798264,1.472029178832769,1.1283517730214219,0.2261214727870598,-0.7003796295951461,1.4067839353191034,1.1678977672707296,False,False,False
18,37.00578985327666,6.020781300967871,1.491668127183459,1.2027153097892926,0.19349456232724005,-0.652538209196395,1.4872707353574137,1.2068454214240423,False,False,False
19,37.0108298106461,6.084341879280223,1.5070368470456472,1.2752016759221152,0.14362804571300058,-0.9973303322847894,1.4497273226564489,1.2493561428692996,False,False,False
20,37.015102633872935,6.151265756513489,1.5185209449550578,1.3412027978290193,0.10239111031449537,-0.8247387079701043,1.3200224381380803,1.292850196735777,False,False,False
21,37.018796038618426,6.221854237381924,1.5253914732735492,1.4137007986030845,0.058253527885613735,-0.8827516485776327,1.4499600154813024,1.3345877453381723,False,False,False
22,37.022168479764545,6.296078092846689,1.527963755400087,1.4860086243812054,0.02076902290139459,-0.7496900996843829,1.4461565155624188,1.3744688394742526,False,False,False
23,37.02550619417741,6.3739551125647775,1.5267017428058587,1.5589702418806368,-0.009713895998794051,-0.6096583780037728,1.4592323499886293,1.411302961228372,False,False,False
24,37.0290966270993,6.4553280454132524,1.5218879136041732,1.6290420999997426,-0.035445220668823656,-0.5146264934005921,1.4014371623821154,1.435959718712916,False,False,False
25,37.03318280632347,6.538808991664225,1.5133937542610072,1.671617808903662,-0.06090139846848161,-0.5091235559931591,0.8515141780783866,1.4384059365390724,False,False,False
26,37.03814231795323,6.625112844012285,1.5016569755751696,1.7289247162003911,-0.08128233414421565,-0.4076187135146807,1.1461381459345854,1.4441860881865605,False,False,False
27,37.044292237220674,6.713920688621356,1.4872704103900842,1.780410601081121,-0.09666351352586636,-0.307623587633014,1.0297176976145952,1.4533212125489139,False,False,False
28,37.051944003513725,6.805317035487123,1.4707593490714848,1.8343218635573222,-0.10759700741633701,-0.21866987780941316,1.0782252495240257,1.46552187246649,False,False,False
29,37.061375632545975,6.899283748771885,1.4527218972336575,1.8887772586244884,-0.11409990340342568,-0.13005791974177328,1.0891079013433265,1.480918591238172,False,False,False
30,37.07273893693824,6.995074580451329,1.4338674242081906,1.9292494002124867,-0.11674223643593444,-0.05284666065017507,0.8094428317599651,1.4887540215630937,False,False,False
31,37.08610929165023,7.092108057141772,1.4152033935739903,1.9590060728603662,-0.11383330472607216,0.05817863419724567,0.595133452957592,1.4501109385249173,False,False,False
32,37.101413409324906,7.189673014809358,1.3974704893978274,1.9751594348283013,-0.10732158301483609,0.13023443422472125,0.32306723935870196,1.4110193932696486,False,False,False
33,37.11850167588938,7.287274169327976,1.3808287085011184,1.9817158441659015,-0.10043290125966052,0.13777363510351126,0.131128186752004,1.3777310359119834,False,False,False
34,37.13737246414721,7.385413206505708,1.3650276469152685,1.9987373281794207,-0.09458320250320609,0.11699397512908849,0.3404296802703852,1.3502456301805965,False,False,False
35,37.15780443256418,7.483303628236377,1.350877895880048,2.0,-0.08469540790438244,0.19775589197647303,0.15443771640273773,1.3285933977429982,False,False,False
36,37.17961943449346,7.580895152923849,1.3375232863989162,2.0,-0.07995682950268695,0.09477156803390985,0.8735845857429867,1.3134686765336951,False,False,False
37,37.20273574910859,7.678186653059341,1.326460479751872,2.0,-0.066279613868202,0.27354431268969925,0.5455812050105764,1.3043612930929955,False,False,False
38,37.22692694428531,7.775216473609118,1.317760337308865,2.0,-0.05215351748339517,0.2825219276961366,0.270539767695813,1.3007656605615086,False,False,False
39,37.25196138653249,7.872032157779465,1.3109316746641824,2.0,-0.040949072342310995,0.22408890282168348,0.03841355335506336,1.3027744929724228,False,False,False
40,37.27765636160383,7.968674634238232,1.3066588946547846,2.0,-0.025631065791733538,0.30636013101154913,0.3499645008416734,1.3098771167227132,False,False,False
41,37.30376403290847,8.065206439872691,1.3039679459413023,2.0,-0.0161442895290863,0.18973552525294468,0.49202715485644033,1.318631076476214,False,False,False
42,37.330131371512344,8.161667641684344,1.3036523927751293,2.0,-0.0018933167347427934,0.28501945588687017,0.31562543320902625,1.3091094924670732,False,False,False
43,37.35652914744062,8.258120518396451,1.3060851806723086,2.0,0.014595690834349136,0.3297801513818386,0.2519675005015165,1.3050744415682258,False,False,False
44,37.38269219609222,8.354637329809043,1.3108390369414504,2.0,0.02851540620473577,0.27839430740773263,0.19726037093103854,1.3063565404002317,False,False,False
45,37.40839612379223,8.451277425529156,1.3179698216362175,2.0,0.042758630555661634,0.2848644870185173,0.6632606658767766,1.3127719591151672,False,False,False
46,37.433410284121784,8.548098351898446,1.3276284936768725,2.0,0.057887286557349836,0.302573120033764,0.25985963392081546,1.3239480062694318,False,False,False
47,37.45748813064123,8.645156361907851,1.3381631573400252,2.0,0.06312400598156767,0.10473438848435679,0.18293604170295397,1.3396785874006045,False,False,False
48,37.48054218652454,8.742462633583058,1.3501780668528536,2.0,0.07196496470898911,0.17681917454842866,0.28045942237504873,1.3594525507044162,False,False,False
49,37.502425480487965,8.840038867601953,1.3638879995920616,2.0,0.08207480571296569,0.20219682007953144,1.13312719999408,1.380411382860904,False,False,False
50,37.522968996169396,8.93790594052971,1.3791498304364875,2.0,0.09131631672692526,0.1848302202791916,0.6043163606166537,1.3999226639355413,False,False,False
51,37.54201654663435,9.036075135399003,1.3957442580864452,2.0,0.09923949142685928,0.15846349399868043,0.5039209523825843,1.4178956830496288,False,False,False
52,37.55943248771401,9.134546882597423,1.4110181038090488,2.0,0.09138780606828692,-0.15703370717144738,1.1323750600772176,1.4111500506405927,False,False,False
53,37.575342413551894,9.233273141818731,1.425392901085246,2.0,0.0860358691575399,-0.10703873821494037,0.6462963703018989,1.3712898730390495,False,False,False
54,37.58983157455827,9.332217895157811,1.438092517507239,2.0,0.07605073993303349,-0.19970258449012812,0.1245258788432606,1.3253938457069845,False,False,False
55,37.60306304053429,9.431338671527477,1.4482555159335924,2.0,0.06090258026057842,-0.3029631934491015,0.12795692646929524,1.2840712199750193,False,False,False
56,37.61528647624688,9.530588798073392,1.4553267600213164,2.0,0.04240203423882778,-0.3700109204350127,0.21546383621147913,1.247131144719892,False,False,False
57,37.626807790337864,9.62992287742996,1.4594194067715298,2.0,0.02455094662570823,-0.3570217522623911,0.16282937860823932,1.2146147962758547,False,False,False
58,37.63752207242125,9.725723178715937,1.4622582446993384,1.9279516142316637,0.017667720628550706,-0.13766451994315043,-1.4409677153667264,1.1883231727100694,False,False,False
59,37.6475581310361,9.81782557683449,1.464986647882304,1.8529516142316638,0.017667720628550706,0.0,-1.5,1.1683656077966442,False,False,False
60,37.65694681380377,9.906225986857637,1.4676046163204282,1.7779516142316638,0.017667720628550706,0.0,-1.5,1.1542302606917618,False,False,False
61,37.66571775267369,9.9909206214715,1.4701121500137102,1.7029516142316639,0.017667720628550706,0.0,-1.5,1.144720072776567,False,False,False
62,37.67389950856887,10.071907430646975,1.4714448562807627,1.6279808831743932,0.00982318709550872,-0.15689067066083973,-1.499414621145414,1.1372424454274352,False,False,False
63,37.68160548096156,10.149214803832379,1.4698594864499155,1.5538097643333628,-0.012243125154004868,-0.44132624499027173,-1.4834223768206083,1.1286988574797279,False,False,False
64,37.68906504318132,10.222866918229116,1.4661038642373256,1.480578133516845,-0.030429704683971753,-0.3637315905993377,-1.4646326163303534,1.119255589881796,False,False,False
65,37.69641669932608,10.292831622609514,1.4580605197363852,1.4069977550951849,-0.06849275546753474,-0.7612610156712595,-1.4716075684332042,1.1076581407018073,False,False,False
66,37.70475179674048,10.366452918438043,1.444110451174403,1.4818325206823353,-0.11249186658180269,-0.8799822222853589,1.49669531174301,1.0919686265974313,False,False,False
67,37.71454672702943,10.443355520732016,1.42499144664081,1.5504774618097976,-0.14690649296363292,-0.6882925276366045,1.3728988225492476,1.0743920484134344,False,False,False
68,37.72595804125901,10.521064406481782,1.4010411565975822,1.5708455069696001,-0.1809595345619417,-0.6810608319661755,0.4073609031960481,1.0559794427390798,False,False,False
69,37.739242002366815,10.598564931420814,1.3719106403951535,1.5726150181832892,-0.2187272326087421,-0.7553539609360083,0.03539022427378269,1.0365784158313527,False,False,False
70,37.75463372038342,10.674931605415827,1.3379503957903243,1.558046710540251,-0.25582886677600647,-0.7420326833452874,-0.2913661528607654,1.0165044371012841,False,False,False
71,37.77236347734151,10.749694231918939,1.300220427935141,1.5367230854564238,-0.2865198780917623,-0.6138202263151176,-0.42647250167654294,0.9966710766324633,False,False,False
72,37.792429853508395,10.822037238459297,1.259038207314772,1.5014886010581858,-0.317963820184396,-0.6288788418526732,-0.7046896879647593,0.964899749977544,False,False,False
73,37.8147872529273,10.891412604728027,1.2156650685751735,1.4577784130240024,-0.34292812844172765,-0.49928616514663293,-0.8742037606836698,0.9532408498831397,False,False,False
74,37.8392491537053,10.957373527565162,1.1706484462034972,1.4070149865867294,-0.3665792393432205,-0.47302221802985733,-1.015268528745457,0.8906179602477902,False,False,False
75,37.86560149915629,11.01967699693081,1.122783169552827,1.3529476568980203,-0.40148278842305757,-0.6980709815967407,-1.0813465937741822,0.863881297213396,False,False,False
76,37.89358170498115,11.077895475742968,1.0730987534297354,1.2918642642635603,-0.4323873219905382,-0.6180906713496124,-1.2216678526892029,0.8070463717819212,False,False,False
77,37.92288578660946,11.131831023178169,1.0209724455186695,1.2276436742334458,-0.47123889803846897,-1.007658130876204,-1.284411800602288,0.7719405125209724,False,False,False
78,37.95324186066985,11.181362611999145,0.9716388096492468,1.1618725443851352,-0.47123889803846897,-0.40449435886536955,-1.3154225969662106,0.7439424783046922,False,False,False
79,37.98412236802538,11.226582226626835,0.925137968229973,1.0951564786115413,-0.47123889803846897,-0.07875206045072158,-1.334321315471878,0.711646705586394,False,False,False
80,38.015013633897304,11.267586000152058,0.8815413591426093,1.0267579559911257,-0.47123889803846897,-1.007535571862072,-1.3679704524083125,0.676664402799577,False,False,False
81,38.04550757152478,11.304589418481724,0.8408223973028779,0.9589855473590397,-0.47123889803846897,-0.7556896830697619,-1.35544817264172,0.6635249434744102,False,False,False
82,38.075195567813914,11.337765161359302,0.8037431800605268,0.8903947527120484,-0.46342586752937315,0.15626061018191684,-1.371815892939828,0.6373402269624813,False,False,False
83,38.10371231195165,11.367347860330344,0.7688496679023231,0.8217884824279469,-0.47123889803846897,-0.26960500333943693,-1.3721254056820302,0.6173262530430117,False,False,False
84,38.13077686859636,11.393531164543598,0.7368709338645303,0.7531415925039254,-0.47123889803846897,-0.19775935472106587,-1.372937798480429,0.5946179108986467,False,False,False
85,38.15614296596896,11.416547549367866,0.7077839066554081,0.6850380620944442,-0.47123889803846897,-0.5739847541862286,-1.3620706081896259,0.5764215829909012,False,False,False
86,38.17954590971449,11.436573042637827,0.682186849617707,0.616025375016902,-0.4625457454229724,0.17386305230993115,-1.3802537415508436,0.5657504428405564,False,False,False
87,38.20076810183719,11.453811504423328,0.6589683799291732,0.546825750389626,-0.47123889803846897,-0.24877448002122338,-1.3839924925455205,0.5587935914031926,False,False,False
88,38.219675590946025,11.468454470430446,0.6386598576885936,0.4782926292077602,-0.47123889803846897,-0.06263106197240964,-1.3706624236373155,0.5544914832952895,False,False,False
89,38.23608096812109,11.480634853575328,0.6216573182351413,0.40865542150428136,-0.4630655562191178,0.16346683638702308,-1.3927441540695777,0.5523417816710117,False,False,False
90,38.249861483152,11.490507407055446,0.6085376032969187,0.33903976565299043,-0.4347315044635359,0.566681035111638,-1.3923131170258187,0.5517607813051387,False,False,False
91,38.261012892978286,11.498277088556415,0.597733090424112,0.2718248640137433,-0.4450599937042933,-0.20656978481514676,-1.3442980327849425,0.5518005731831158,False,False,False
92,38.269379118307185,11.503972932178085,0.5897010126350661,0.20242169924827774,-0.44439363038264906,0.013327266432884288,-1.388063295309311,0.5459854645895813,False,False,False
93,38.27476697789259,11.50757807137154,0.5846249297829966,0.12965501843932348,-0.4392037998866685,0.10379660991961126,-1.4553336161790855,0.5413168523169252,False,False,False
94,38.27711261501548,11.509130411081665,0.5823855067987118,0.05625574490809293,-0.4456447394176865,-0.1288187906203594,-1.467985470624611,0.5388639789106744,False,True,False
