Environment,Algorithm,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (realmap_a),CNN-DDQN+Duel,0.88,23.9643,12.9568,0.149268,1.20422,0.0,0,1.20422,3,27.916,0.831
Env. (realmap_a),Expert (CTG),0.98,23.7667,12.7602,0.147335,1.74653,0.0,0,1.74653,3,25.143,0.652
Env. (realmap_a),RRT*,0.7,22.4808,12.8757,0.165775,5.17558,1.34955,0,6.52514,3,36.776,1.334
Env. (realmap_a),LO-HA*,0.54,20.862,11.6704,0.130826,6.74668,0.54244,0,7.28912,2,45.382,0.206
