Environment,Algorithm name,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (掳),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN+Duel,0.86,8.4774,4.9791,0.167183,0.92062,0.0,0,0.92062,3,10.393,0.289
Env. (realmap_a),Expert (CTG),0.94,8.4643,4.9245,0.159299,0.99413,0.0,0,0.99413,3,9.533,0.157
Env. (realmap_a),RRT*,0.76,8.3194,5.7329,0.181951,3.04041,1.5728,0,4.61321,2,13.982,1.239
Env. (realmap_a),LO-HA*,0.6,7.8895,5.23,0.141762,5.36141,1.49832,0,6.85972,2,18.866,0.535
