step,x_m,y_m,theta_rad,v_m_s,delta_rad,delta_dot_rad_s,a_m_s2,od_m,collision,reached,stuck
0,27.400000000000002,2.2,0.0,0.0,0.0,0.0,0.0,0.47443830696838907,False,False,False
1,27.403750000000002,2.2,0.0,0.07500000000000001,0.0,0.0,1.5,0.4750539029945706,False,False,False
2,27.411250000000003,2.2,0.0,0.15000000000000002,0.0,0.0,1.5,0.4762850950469357,False,False,False
3,27.422464346734714,2.2,7.218333564784629e-05,0.22428693469420302,0.003861998125227906,0.07723996250455811,1.4857386938840595,0.47816382046673445,False,False,False
4,27.437374133090554,2.200001076238115,0.0004927065941906505,0.29819572789364795,0.01692109241945974,0.26118188588463664,1.4781758639888984,0.4808319772699724,False,False,False
5,27.455896687390794,2.200010202423498,0.0014399839241527879,0.37045113097009075,0.030675469159198034,0.2750875347947659,1.445108061528856,0.48178591318707287,False,False,False
6,27.478169220847633,2.200042274535794,0.0025790430947076892,0.44545113097009076,0.030675469159198034,0.0,1.5,0.4782392160220992,False,False,False
7,27.504191690852146,2.2001093877561666,0.003909884105855355,0.5204511309700908,0.030675469159198034,0.0,1.5,0.4741257439986668,False,False,False
8,27.53394581464491,2.200225723524684,0.005503639370442404,0.5950870244547513,0.032127204782027664,0.029034712456592615,1.4927178696932089,0.46978851810034283,False,False,False
9,27.5674292434585,2.200410006102406,0.007084312076219401,0.6696787185458738,0.028316567277294105,-0.07621275009467121,1.4918338818224504,0.4682275048415797,False,False,False
10,27.60466224505104,2.200673780717964,0.008842010644772635,0.7446787185458739,0.028316567277294105,0.0,1.5,0.4665517366121751,False,False,False
11,27.645636351837943,2.2010360836481366,0.010310986917438925,0.8195141708104857,0.02150664137427942,-0.1361985180602937,1.4967090452922367,0.4655583851353673,False,False,False
12,27.689906602281024,2.201492569798731,0.011701171654936005,0.8854520775059094,0.018838109778312885,-0.05337063191933067,1.318758133908473,0.4661107880178865,False,False,False
13,27.737925918628363,2.202054477707291,0.013209108507946876,0.9604520775059093,0.018838109778312885,0.0,1.5,0.46715886477254065,False,False,False
14,27.789476085789218,2.2027354490648006,0.01414212020989325,1.0310932947705187,0.010858086727601897,-0.15960046101421976,1.4128243452921874,0.47074845289491374,False,False,False
15,27.844198423548313,2.20350939054023,0.014677556105655576,1.0945562087399305,0.005870102327552479,-0.09975968800098833,1.2692582793882385,0.47600244762322075,False,False,False
16,27.90248332546817,2.2043649318957645,0.014906516712853701,1.1658236132140456,0.0023567220362652854,-0.07026760582574387,1.425348089482303,0.4749292793673603,False,False,False
17,27.962964647878735,2.20526656452228,0.014293235382789593,1.2097608527182024,-0.0060832561771531355,-0.1687995642683684,0.8787447900831356,0.4384536617591397,False,False,False
18,28.027196128820222,2.2061847027233776,0.013641933232617642,1.2847608527182024,-0.0060832561771531355,0.0,1.5,0.404201166287373,False,False,False
19,28.094964627377554,2.207109253410366,0.012728369079790358,1.3554960996900933,-0.008087467622331796,-0.040084228903573216,1.4147049394378177,0.3708607616810332,False,False,False
20,28.16534468441157,2.208005125133145,0.011617281816208358,1.4077151720791572,-0.009471126515494683,-0.027673177863257736,1.0443814477812778,0.34016850706468005,False,False,False
21,28.23789522157715,2.2088480030882733,0.009758856165460017,1.4511086639203834,-0.015367114042067599,-0.11791975053145831,0.8678698368245246,0.31565991902761625,False,False,False
22,28.31212559816846,2.209572429653669,0.007485320181490174,1.484678228133762,-0.018373921722245425,-0.06013615360355651,0.6713912842675733,0.294572466828412,False,False,False
23,28.38984425075501,2.210154189517733,0.00574665856440193,1.554416598522871,-0.013421554178541451,0.09904735087407945,1.3947674077821821,0.2773599479773512,False,False,False
24,28.471313735435064,2.210622371983384,0.003924107196390025,1.629416598522871,-0.013421554178541451,0.0,1.5,0.26451778312083674,False,False,False
25,28.556503700198785,2.2109566682530755,0.0014099862947807296,1.7038124134352013,-0.017705175802779468,-0.08567243248476031,1.4879162982466072,0.25780122691293994,False,False,False
26,28.643073749014718,2.211078730916334,-0.0022108605251123237,1.7314026973857815,-0.02509008681166193,-0.14769822017764922,0.5518056790116028,0.23422783175342454,False,False,False
27,28.728735712065117,2.2108893439551536,-0.005126397904841262,1.7132434480912242,-0.020418339501191988,0.09343494620939885,-0.36318498589114423,0.20424852294796236,False,False,False
28,28.81786368965595,2.210432434475042,-0.00969348447857099,1.7825829748660071,-0.03073505216701311,-0.2063342533164224,1.3867905354956584,0.1793780970208817,False,False,False
29,28.90874387892141,2.209551461177662,-0.015502989275342216,1.8176891829877404,-0.038334334662538716,-0.1519856499105121,0.7021241624346661,0.16749633033827238,False,False,False
30,29.00284284137069,2.208092529088903,-0.022903150526117688,1.8822054316010188,-0.04714476566630934,-0.1762086200754125,1.290324972265569,0.16091738447339154,False,False,False
31,29.100625650146142,2.205852603032671,-0.032070381590919794,1.9561692115718294,-0.05617664740183305,-0.18063763471047412,1.47927559941621,0.1533965254969446,False,False,False
32,29.200574229084854,2.2026461145901113,-0.04235619364570642,2.0,-0.0616366992264063,-0.10920103649146506,1.4463148519965863,0.14397254015892502,False,False,False
33,29.298017538566036,2.1985163169249184,-0.05383656303613149,1.9506156762828561,-0.07050904944160238,-0.17744700430392168,-0.9876864743428782,0.13622967641430273,False,False,False
34,29.393653679549985,2.193362615709468,-0.06634026814102478,1.9154980656236773,-0.07817220186054213,-0.15326304837879512,-0.7023522131835773,0.13704348601429117,False,False,False
35,29.487315653031615,2.1871399238409213,-0.0793810452646353,1.877369134780323,-0.08316339511594785,-0.09982386510811425,-0.7625786168670863,0.1495972705538544,False,False,False
36,29.57757090170265,2.179960281040279,-0.09380478173759421,1.8108072435701115,-0.09529483984126548,-0.2426288945063526,-1.3312378242042306,0.13871817177965307,False,False,False
37,29.66473022027839,2.1717602544645485,-0.10896979940985574,1.750884033901736,-0.10356433036147969,-0.16538981040428413,-1.1984641933675115,0.1280670461093305,False,False,False
38,29.74908452835865,2.162531625286577,-0.12273338268762934,1.6971525433153034,-0.09701222076089153,0.13104219201176326,-1.0746298117286492,0.11947998505320179,False,False,False
39,29.836879359376066,2.15170183588963,-0.13490928834565308,1.769205097410546,-0.08239861142948447,0.29227218662814103,1.4410510819048508,0.1168485762051692,False,False,False
40,29.92794773341392,2.139340782690024,-0.14528683878397652,1.8380690287474972,-0.06764739929339823,0.29502424272172467,1.3772786267390238,0.1288673381056915,False,False,False
41,30.02146826132749,2.1256570652211724,-0.1537063844111568,1.8903262432712988,-0.05339739826762563,0.28500002051545215,1.045144290476034,0.14284400454812873,False,False,False
42,30.118219968607967,2.1106674774980436,-0.16030467049219554,1.9581195675234973,-0.04041444707510643,0.259659023850384,1.3558664850439666,0.10556762326899116,False,False,False
43,30.216937838408036,2.0947055796742795,-0.1649980372893891,2.0,-0.028152760672112517,0.2452337280598782,1.1446405757200662,0.08364457606771691,False,False,False
44,30.31557970618046,2.07828054018064,-0.16780650502127337,2.0,-0.016849211735972654,0.22607097872279724,0.06496637957732032,0.08014314334400596,False,False,False
45,30.4126369837254,2.0618390820266677,-0.16842675987819478,1.9688003119325275,-0.0037804864104243954,0.26137450651096517,-0.6239937613494497,0.09098411367338155,False,False,False
46,30.50864980882279,2.0455132858418503,-0.16697802821488805,1.947818698364898,0.008925018725502158,0.2541101027185311,-0.41963227135258974,0.10655142939575613,False,False,False
47,30.60313222783234,2.029588518989046,-0.16385227214014186,1.9163011977465945,0.019571184200961725,0.21292330950919136,-0.630350012366072,0.09885684275553663,False,False,False
48,30.695446554992383,2.01432577242943,-0.15949653725274926,1.871351001982716,0.027923800798305733,0.16705233194688018,-0.8990039152775687,0.08092793766281836,False,False,False
49,30.79025721740968,1.9990742516611828,-0.15350509727710593,1.9205905960146994,0.03741751260114556,0.18987423605679643,0.9847918806396669,0.07932401756612006,False,False,False
50,30.88610443775198,1.9842445499352472,-0.14644687505608678,1.9397535617315618,0.04363693457548278,0.1243884394867445,0.3832593143372498,0.08963503096762815,False,False,False
