Environment,Algorithm name,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (掳),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN+Duel,0.88,8.9284,5.2455,0.163135,0.83902,0.0,0,0.83902,3,10.623,0.508
Env. (realmap_a),Expert (CTG),0.92,8.7193,5.0685,0.155887,0.96651,0.0,0,0.96651,3,10.003,0.233
Env. (realmap_a),RRT*,0.66,8.6625,5.9364,0.160259,3.56193,1.51696,0,5.0789,2,16.973,1.415
Env. (realmap_a),LO-HA*,0.74,8.4841,5.4919,0.143587,4.06177,0.52655,0,4.58832,2,14.565,0.516
