Environment,Algorithm name,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (掳),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN+Duel,0.9,24.158,13.0878,0.143918,1.18972,0.0,0,1.18972,3,27.503,0.798
Env. (realmap_a),Expert (CTG),0.98,23.9657,12.8571,0.142237,1.69743,0.0,0,1.69743,3,25.321,0.623
Env. (realmap_a),RRT*,0.7,22.7725,13.0257,0.166314,5.40868,1.28521,0,6.69389,3,37.313,1.353
Env. (realmap_a),LO-HA*,0.56,21.2738,11.8696,0.122548,6.61139,0.55561,0,7.167,2,44.388,0.198
