Environment,Algorithm,run_idx,start_x,start_y,goal_x,goal_y,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (realmap_a),CNN-DDQN+Duel,0,276,25,198,33,1.0,7.3162,4.3,0.186507,4.75535,0.0,0,4.75535,2,9.694,0.417
Env. (realmap_a),CNN-DDQN+Duel,1,58,15,180,24,1.0,11.46,6.4,0.0753,2.86697,0.0,0,2.86697,1,12.893,0.237
Env. (realmap_a),CNN-DDQN+Duel,2,389,121,376,53,1.0,5.9663,3.65,0.026516,1.72454,0.0,0,1.72454,1,6.829,0.064
Env. (realmap_a),CNN-DDQN+Duel,3,380,91,283,31,1.0,12.7894,7.05,0.244312,2.81941,0.0,0,2.81941,4,14.199,0.889
Env. (realmap_a),CNN-DDQN+Duel,4,246,38,151,20,1.0,8.9031,5.2,0.168538,2.90266,0.0,0,2.90266,1,10.354,0.786
Env. (realmap_a),CNN-DDQN+Duel,5,369,55,390,122,1.0,6.0863,3.7,0.008627,1.80469,0.0,0,1.80469,0,6.989,0.032
Env. (realmap_a),CNN-DDQN+Duel,6,234,40,103,45,1.0,12.3469,6.85,0.131439,2.69832,0.0,0,2.69832,2,13.696,0.819
Env. (realmap_a),CNN-DDQN+Duel,7,65,43,152,40,1.0,7.875,4.6,0.123669,1.98802,0.0,0,1.98802,4,8.869,0.084
Env. (realmap_a),CNN-DDQN+Duel,8,274,22,366,22,1.0,8.29,6.5,0.102173,2.98985,0.0,0,2.98985,1,9.785,0.771
Env. (realmap_a),CNN-DDQN+Duel,9,133,36,212,28,1.0,7.575,4.5,0.284012,2.40106,0.0,0,2.40106,4,8.776,0.45
Env. (realmap_a),CNN-DDQN+Duel,10,95,19,26,23,1.0,5.9163,3.6,0.0,1.8496,0.0,0,1.8496,0,6.841,0.081
Env. (realmap_a),CNN-DDQN+Duel,11,278,23,184,38,1.0,8.8163,5.05,0.171548,2.39535,0.0,0,2.39535,2,10.014,0.118
Env. (realmap_a),CNN-DDQN+Duel,12,304,43,386,22,1.0,8.0675,4.7,0.2015,2.32558,0.0,0,2.32558,5,9.23,0.867
Env. (realmap_a),CNN-DDQN+Duel,13,77,15,153,41,1.0,7.4775,4.4,0.145896,1.98605,0.0,0,1.98605,3,8.471,0.234
Env. (realmap_a),CNN-DDQN+Duel,14,83,19,177,26,1.0,8.7162,5.0,0.119552,2.2349,0.0,0,2.2349,2,9.834,0.81
Env. (realmap_a),CNN-DDQN+Duel,15,191,37,58,39,1.0,12.5456,6.95,0.144334,2.88458,0.0,0,2.88458,3,13.988,0.205
Env. (realmap_a),CNN-DDQN+Duel,16,273,24,182,16,1.0,8.3719,4.85,0.125209,2.49802,0.0,0,2.49802,1,9.621,0.742
Env. (realmap_a),CNN-DDQN+Duel,17,357,116,401,38,1.0,8.9125,5.1,0.281835,2.66503,0.0,0,2.66503,5,10.245,0.538
Env. (realmap_a),CNN-DDQN+Duel,18,242,37,321,20,1.0,8.4719,5.8,0.484408,4.38006,0.0,0,4.38006,4,10.662,0.478
Env. (realmap_a),CNN-DDQN+Duel,19,371,112,348,22,1.0,9.1162,5.2,0.16298,2.19678,0.0,0,2.19678,4,10.215,0.889
Env. (realmap_a),CNN-DDQN+Duel,20,129,40,31,52,1.0,9.4662,5.4,0.14291,2.33661,0.0,0,2.33661,5,10.635,0.827
Env. (realmap_a),CNN-DDQN+Duel,21,29,48,86,45,0.0,10.5313,7.75,0.371642,6.08678,0.0,0,6.08678,4,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,22,84,38,17,35,1.0,5.7825,3.55,0.05751,1.49031,0.0,0,1.49031,2,6.528,0.048
Env. (realmap_a),CNN-DDQN+Duel,23,140,33,30,55,1.0,11.0369,6.2,0.158925,2.3029,0.0,0,2.3029,4,12.188,0.889
Env. (realmap_a),CNN-DDQN+Duel,24,105,19,191,9,1.0,7.9425,4.65,0.067922,1.86264,0.0,0,1.86264,2,8.874,0.734
Env. (realmap_a),CNN-DDQN+Duel,25,256,21,360,60,0.0,5.2275,9.0,0.293329,6.64365,0.0,0,6.64365,2,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,26,145,38,74,11,1.0,6.9069,4.1,0.249436,1.89346,0.0,0,1.89346,4,7.854,0.767
Env. (realmap_a),CNN-DDQN+Duel,27,109,43,33,56,1.0,7.8744,4.6,0.223555,1.89322,0.0,0,1.89322,5,8.821,0.815
Env. (realmap_a),CNN-DDQN+Duel,28,229,15,357,41,1.0,12.3469,6.85,0.139135,2.44442,0.0,0,2.44442,3,13.569,0.847
Env. (realmap_a),CNN-DDQN+Duel,29,103,12,29,31,1.0,6.8162,4.05,0.197739,1.62172,0.0,0,1.62172,2,7.627,0.324
Env. (realmap_a),CNN-DDQN+Duel,30,299,36,361,30,1.0,5.7894,3.55,0.137221,1.50918,0.0,0,1.50918,4,6.544,0.399
Env. (realmap_a),CNN-DDQN+Duel,31,279,20,212,39,0.0,1.2956,5.85,0.276521,7.45759,0.0,0,7.45759,1,inf,inf
