step,x_m,y_m,theta_rad,v_m_s,delta_rad,delta_dot_rad_s,a_m_s2,od_m,collision,reached,stuck
0,6.5,4.3,-0.03446910099950795,0.0,0.0,0.0,0.0,0.08876766092878452,False,False,False
1,6.503561364300091,4.29987719433448,-0.034551218712589815,0.07126962020229158,-0.013825663256279548,-0.27651326512559093,1.4253924040458315,0.0885903614916913,False,False,False
2,6.510809423465321,4.299626665356363,-0.03521327615256853,0.14504775273205633,-0.054718246358114696,-0.8178516620367029,1.4755626505952955,0.08849174024129036,False,False,False
3,6.521536708072002,4.299248766313128,-0.03684496010656346,0.21467877651935113,-0.09095534775302601,-0.7247420278982262,1.392620475745896,0.08869986800143104,False,False,False
4,6.535981390024903,4.298716311616195,-0.0395358183908292,0.2890898439757028,-0.1112353507794834,-0.405600060529148,1.4882213491270333,0.08927208594376401,False,False,False
5,6.5540945520719065,4.297999819580434,-0.044161911251894725,0.36254654883384574,-0.1519398512875073,-0.8140900101604779,1.469134097162859,0.09071676150134944,False,False,False
6,6.575950549584654,4.2970339889980815,-0.04974500388497827,0.43754654883384575,-0.1519398512875073,0.0,1.5,0.09318054316557145,False,False,False
7,6.601527572660299,4.295760609358761,-0.05621964661839618,0.5121740349208949,-0.15055004617911474,0.027796102167851222,1.4925497217409829,0.0978871288498846,False,False,False
8,6.630839890354496,4.2941109428446795,-0.06364240107145891,0.5871740349208949,-0.15055004617911474,0.0,1.5,0.10347119402999083,False,False,False
9,6.663829987355404,4.292008534593129,-0.07148096993128172,0.661140414915175,-0.14132513502743235,0.1844982230336476,1.4793275998855995,0.10972637728571888,False,False,False
10,6.700500223399217,4.2893828370029885,-0.08095705405356579,0.7352823945515897,-0.15343660163247044,-0.24222933210076159,1.4828395927282965,0.11736924995453446,False,False,False
11,6.740881649949803,4.286106514820982,-0.0913997141668399,0.8102823945515898,-0.15343660163247044,0.0,1.5,0.12617002363439522,False,False,False
12,6.784939252490727,4.2820684116272405,-0.10235257749115023,0.8848454371374129,-0.14746112701743982,0.11950949230061236,1.4912608517164623,0.13439086178392778,False,False,False
13,6.832680359008238,4.277164851036465,-0.11423381170923053,0.959845437137413,-0.14746112701743982,0.0,1.5,0.1308313309314998,False,False,False
14,6.884081560267764,4.271267420975744,-0.12529900796806448,1.03476821989146,-0.12762342374891797,0.3967540653704371,1.4984556550809414,0.12325505263824632,False,False,False
15,6.93913496121576,4.264332956413728,-0.1371662096455606,1.10976821989146,-0.12762342374891797,0.0,1.5,0.11739498036461704,False,False,False
16,6.997722709148996,4.256245915303439,-0.1474332531343201,1.1828650712246087,-0.10378348394559506,0.47679879606645836,1.461937026662972,0.11641748549355524,False,False,False
17,7.059855784651718,4.247018479184568,-0.15634242508332807,1.2562905155663144,-0.08489525130289666,0.377764652853968,1.468508886834115,0.11301728931903166,False,False,False
18,7.125596248276317,4.236655886984061,-0.16350512823816388,1.331043481587463,-0.06448569436454982,0.4081911387669368,1.495059320422972,0.11818036598672577,False,False,False
